Months_encoded,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency
1,3013.0,10366.0,7.92,9.0,671.0,254.0,24.0,28.0,1472.0,336.0,31.0,19.0,374.0,4.92125832,3.0,1.0,5.6,90.5487804878,5.6,90.5487804878
2,2828.5,9235.0,7.26,11.0,724.5,194.0,24.0,25.5,1327.5,319.5,26.0,14.5,341.0,4.51115346,3.0,1.0,5.324999999999999,90.13316175235002,5.416666666669999,90.13316175235002
3,2864.0,11122.0,8.66,12.0,638.0,199.0,9.0,39.0,1646.0,275.0,25.0,13.0,319.0,5.38107286,3.0,1.0,4.58333333333,89.8760330579,4.56666666667,89.8760330579
4,3277.5,13846.5,11.559999999999999,13.0,674.5,290.5,8.5,50.5,1763.0,356.5,34.5,19.0,384.0,7.18304876,3.0,1.0,5.941666666665,89.11777577550001,5.85,89.11777577550001
5,2961.0,11998.0,8.91,12.0,684.0,218.0,18.0,43.0,1937.0,381.0,35.0,22.0,415.0,5.53641561,3.0,1.0,6.35,89.1651865009,6.283333333330001,89.4329896907
6,3197.0,12935.5,10.425,17.5,673.0,226.0,34.5,57.0,1716.0,379.0,41.0,21.5,431.5,6.477792675,3.0,1.0,6.31666666667,87.3931623932,6.39166666667,87.39027489029999
7,3134.0,10644.0,8.66,16.0,683.0,234.0,33.0,43.0,1589.0,362.0,29.0,16.0,398.0,5.38107286,3.0,1.0,6.033333333330001,90.1298701299,6.033333333330001,90.2380952381
8,3136.0,12213.0,9.07,11.0,562.0,267.0,25.0,20.0,1617.0,368.0,29.0,17.0,406.0,5.63583497,3.0,1.0,6.13333333333,90.6403940887,6.13333333333,90.17857142860001
9,2942.0,9343.0,7.645,13.0,662.5,209.5,34.5,26.5,1394.0,349.0,28.0,15.5,390.0,4.750381295,3.0,1.0,5.81666666667,87.77920023315,5.81666666667,87.77920023315
10,2712.0,7865.0,5.91,7.0,643.0,204.0,29.0,17.0,1401.0,209.0,17.0,10.0,223.0,3.67230261,3.0,1.0,3.48333333333,88.7931034483,3.48333333333,88.7931034483
11,2860.0,9453.5,7.4350000000000005,5.5,630.5,212.0,34.0,28.5,1527.0,283.5,29.0,14.5,320.5,4.619893385,3.0,1.0,4.725,90.0418569584,4.725,90.0418569584
12,2845.0,8531.0,7.27,10.0,636.0,244.0,22.0,24.0,1359.0,275.0,19.0,11.0,306.0,4.51736717,3.0,1.0,4.58333333333,89.8692810458,4.51666666667,89.8692810458
